id,countryCode,date,totalCases,newCases,totalDeaths,newDeaths
4367,COL,2020-04-20,3792,171,179,13
4368,COL,2020-04-21,3977,185,189,10
4369,COL,2020-04-22,4149,172,196,7
4370,COL,2020-04-23,4356,207,206,10
4371,COL,2020-04-24,4561,205,215,9
4372,COL,2020-04-25,4881,320,225,10
4373,COL,2020-04-26,5142,261,233,8
4374,COL,2020-04-27,5379,237,243,10
4375,COL,2020-04-28,5597,218,253,10
4376,COL,2020-04-29,5949,352,269,16
4377,COL,2020-04-30,6211,262,278,9
4378,COL,2020-05-01,6507,296,293,15
4379,COL,2020-05-02,7006,499,314,21
4380,COL,2020-05-03,7285,279,324,10
4381,COL,2020-05-04,7668,383,340,16
4382,COL,2020-05-05,7973,305,358,18
4383,COL,2020-05-06,8613,640,378,20
4384,COL,2020-05-07,8959,346,397,19
4385,COL,2020-05-08,9456,497,407,10
4386,COL,2020-05-09,10051,595,428,21
4387,COL,2020-05-10,10495,444,445,17
4388,COL,2020-05-11,11063,568,463,18
4389,COL,2020-05-12,11613,550,479,16
4390,COL,2020-05-13,12272,659,493,14
4391,COL,2020-05-14,12930,658,509,16
4392,COL,2020-05-15,13610,680,525,16
4393,COL,2020-05-16,14216,606,546,21
4394,COL,2020-05-17,14939,723,562,16
4395,COL,2020-05-18,15574,635,574,12
4396,COL,2020-05-19,16295,721,592,18
4397,COL,2020-05-20,16935,640,613,21
4398,COL,2020-05-21,17687,752,630,17
4399,COL,2020-05-22,18330,643,652,22
4400,COL,2020-05-23,19131,801,682,30
4401,COL,2020-05-24,20177,1046,705,23
4402,COL,2020-05-25,21175,998,727,22
4403,COL,2020-05-26,21981,806,750,23
4404,COL,2020-05-27,23003,1022,776,26
4405,COL,2020-05-28,24104,1101,803,27
4406,COL,2020-05-29,25366,1262,822,19
4407,COL,2020-05-30,26688,1322,853,31
4408,COL,2020-05-31,28236,1548,890,37
4409,COL,2020-06-01,29383,1147,939,49
4410,COL,2020-06-02,30493,1110,969,30
4411,COL,2020-06-03,31833,1340,1009,40
4412,COL,2020-06-04,33354,1521,1045,36
4413,COL,2020-06-05,35120,1766,1087,42
4414,COL,2020-06-06,36635,1515,1145,58
4415,COL,2020-06-07,38027,1392,1205,60
4416,COL,2020-06-08,39236,1209,1259,54
4417,COL,2020-06-09,40719,1483,1308,49
4418,COL,2020-06-10,42078,1359,1372,64
4419,COM,2020-05-02,1,1,0,0
4420,COM,2020-05-03,1,0,0,0
4421,COM,2020-05-04,3,2,0,0
4422,COM,2020-05-05,4,1,1,1
4423,COM,2020-05-06,4,0,1,0
4424,COM,2020-05-07,8,4,1,0
4425,COM,2020-05-08,8,0,1,0
4426,COM,2020-05-09,8,0,1,0
4427,COM,2020-05-10,11,3,1,0
4428,COM,2020-05-11,11,0,1,0
4429,COM,2020-05-12,11,0,1,0
4430,COM,2020-05-13,11,0,1,0
4431,COM,2020-05-14,11,0,1,0
4432,COM,2020-05-15,11,0,1,0
4433,COM,2020-05-16,11,0,1,0
