countryCode,causeOfDeathByCommunicableDiseases,healthExpenditure,lifeExpectancy,mortalityFemaleRate,mortalityInfantRate,mortalityMaleRate,mortalityRateDueToUnsafeWater,peopleWithBasicHandwashingFacilities
MOZ,65.3,5.14673329889774,58.309,285.138,57.5,355.934,27.6,
MMR,23.6,4.76712286472321,66.205,163.373,39.3,225.386,12.6,79.2434622802757
NAM,49.3,9.11030694842339,62.625,256.198,30.6,349.055,18.3,44.2351896940557
NPL,25.0,6.27840086817741,69.848,129.519,28.7,171.009,19.8,48.7885443590975
NLD,5.2,10.3006057441235,81.5609756097561,51.048,3.4,65.56,0.2,
NCL,,,76.96150073712161,58.788,,102.178,,
NZL,4.6,9.29223001003265,81.61243902439026,,4.9,,0.1,
NIC,10.9,8.79094824194908,73.86,103.055,16.0,189.595,2.2,
NER,62.7,6.16463981568813,61.137,230.872,50.5,259.22,70.8,
NGA,62.7,3.6477368324995,53.541,333.034,77.9,371.147,68.6,41.7684278475915
MNP,,,,,,,,
NOR,7.3,10.5194889008999,82.40731707317074,41.742,2.1,65.857,0.2,
OMN,10.5,4.32874485850334,77.142,67.705,9.7,107.178,0.1,
PAK,34.9,2.8551023453474,66.77,140.345,60.5,177.87,19.6,59.5295528975539
PAN,15.6,7.2416253387928,77.964,78.552,14.0,147.785,1.9,
PNG,36.1,2.5426410138607,63.744,191.052,39.8,256.144,16.3,
PRY,13.7,6.72532469034195,73.836,124.542,18.4,164.594,1.5,79.5670685035116
PER,20.3,5.06358928978443,76.044,93.364,12.0,151.637,1.3,
PHL,25.2,4.40696738660336,70.802,135.647,23.4,260.571,4.2,78.4370472671209
POL,5.0,6.54307752847672,77.85121951219514,61.842,4.0,160.653,0.1,
PRT,10.2,9.03794467449188,81.12439024390245,,3.0,,0.2,
PRI,,,79.4949756097561,64.414,,149.804,,
QAT,5.2,3.04936449974775,79.868,46.334,6.4,64.592,0.1,
ROU,4.2,4.99375648796558,75.20975609756098,75.679,7.1,176.81,0.4,
RUS,4.8,5.26546724140644,71.65121951219513,,6.9,,0.1,
RWA,42.4,6.76334127783775,67.93,170.607,29.3,225.023,19.3,4.42065966873118
SMR,,6.83496594429016,,,1.9,,,
STP,33.9,6.22189119458199,69.67,162.21,26.1,218.349,11.4,41.4125989176851
SAU,10.6,5.83562962710857,74.761,77.266,6.8,96.391,0.1,
SEN,45.7,4.27279323339462,67.078,151.498,33.9,221.575,23.9,23.9984469009461
SRB,2.4,8.6457833647728,75.68780487804878,76.983,5.2,146.946,0.7,
SYC,11.9,5.17879836261272,74.30975609756099,98.997,12.7,203.195,0.2,
SLE,57.9,16.5259554982185,53.444,388.19,84.4,399.368,81.3,18.3832232782818
SGP,22.7,4.4223815202713,82.84634146341465,36.492,2.2,62.568,0.1,
SXM,,,78.29268292682927,,,,,
SVK,4.8,7.09501281380653,77.16585365853659,62.901,4.9,144.495,0.1,
SVN,5.0,8.48107412457466,81.17560975609757,43.387,1.9,97.882,0.1,
SOM,64.2,,56.324,276.099,81.0,332.142,86.6,9.80882402008836
ZAF,39.6,8.09582769870758,63.153,273.751,30.7,396.333,13.7,43.8649443283603
SSD,63.4,,57.12,309.051,63.7,334.576,63.3,
ESP,5.1,8.97140800952911,83.32926829268293,37.537,2.7,74.537,0.2,
LKA,7.5,3.8932416588068,76.482,58.181,7.0,155.972,1.2,
SDN,35.2,6.40364140272141,64.663,191.953,44.4,249.341,17.3,23.4041499409451
SUR,13.3,6.27941191196442,71.358,117.681,18.0,219.762,2.0,
SWE,5.2,10.9761334955692,82.30731707317074,39.668,2.3,63.956,0.2,
CHE,4.3,12.2213654220104,83.60243902439025,35.896,3.8,58.204,0.1,
SYR,5.1,,70.315,79.09,14.1,269.608,3.7,70.5785384215441
TJK,23.2,7.00427740812302,70.397,103.453,32.1,163.598,2.7,72.6465043874336
TZA,55.8,3.96347865462303,63.844,198.797,40.6,248.936,38.4,47.7900040273425
THA,15.8,3.76332066953182,76.403,92.452,8.6,201.685,3.5,83.9118982220547
TLS,45.6,4.02059182524681,68.735,121.955,42.0,172.499,9.9,28.1033128999577
TGO,51.7,6.57702684402466,60.22,251.88,50.0,284.646,41.6,10.3872980924332
TTO,9.0,6.87025934457779,73.1,120.809,17.4,214.11,0.1,
TUN,7.8,6.99615702033043,76.115,69.521,14.7,110.181,1.0,80.208687486213
TUR,4.4,4.31431420147419,76.86,70.13,10.3,137.763,0.3,
TCA,,,,,,,,
UGA,54.5,6.32594227790833,61.986,267.758,36.8,345.975,31.6,20.0692136701969
UKR,4.1,6.75629153847694,71.47634146341464,,7.9,,0.3,
ARE,6.5,3.40341627597809,77.47,55.786,6.6,79.29,0.1,
GBR,7.7,9.69904437661171,81.15609756097562,55.36,3.7,86.107,0.2,
USA,5.2,17.197260260582,78.53902439024391,82.066,5.8,138.455,0.2,
URY,7.6,9.15589556097984,77.498,75.696,7.2,133.439,0.4,
UZB,10.3,6.31497353315353,71.171,103.598,21.5,173.414,0.4,
VEN,11.3,3.21708433330059,72.405,89.034,21.4,191.026,1.4,
VNM,11.5,5.65919354557991,75.172,65.7,17.2,180.52,1.6,85.7739013118594
YEM,28.7,,66.087,195.478,42.9,242.694,10.2,49.3350986954997
ZMB,60.6,4.47720736265183,62.464,246.121,43.1,346.068,34.9,13.8281353541193
ZWE,54.6,7.65210464596748,60.294,319.797,36.3,379.617,24.6,36.801494568623
